Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,airport_fee
45,2,2023-06-30 23:59:18,2023-07-01 00:16:35,4.0,2.71,1.0,N,158,87,2,17.7,1.0,0.5,0.0,0.0,1.0,22.7,2.5,0.0,
46,2,2023-06-30 23:59:16,2023-07-01 00:57:39,1.0,18.6,2.0,N,132,68,1,70.0,0.0,0.5,16.11,6.55,1.0,98.41,2.5,1.75,
47,2,2023-06-30 23:59:14,2023-07-01 00:06:50,1.0,1.66,1.0,N,249,164,1,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0,
48,1,2023-06-30 23:59:12,2023-07-01 00:10:06,2.0,1.3,1.0,N,249,144,1,11.4,2.5,0.5,3.05,0.0,1.0,18.45,2.5,0.0,
49,1,2023-06-30 23:59:12,2023-07-01 00:50:07,1.0,16.5,2.0,N,132,164,1,70.0,4.25,0.5,16.45,6.55,1.0,98.75,2.5,1.75,
50,2,2023-06-30 23:59:11,2023-07-01 00:04:07,1.0,0.59,1.0,N,249,249,1,6.5,1.0,0.5,0.0,0.0,1.0,11.5,2.5,0.0,
51,2,2023-06-30 23:59:10,2023-07-01 00:21:14,1.0,3.47,1.0,N,230,4,1,21.9,1.0,0.5,5.38,0.0,1.0,32.28,2.5,0.0,
52,2,2023-06-30 23:59:09,2023-07-01 00:04:46,1.0,1.18,1.0,N,79,107,1,7.9,1.0,0.5,2.0,0.0,1.0,14.9,2.5,0.0,
53,2,2023-06-30 23:59:06,2023-07-01 00:09:53,1.0,1.72,1.0,N,48,164,1,12.1,1.0,0.5,4.28,0.0,1.0,21.38,2.5,0.0,
54,2,2023-06-30 23:59:06,2023-07-01 00:08:27,4.0,1.93,1.0,N,236,163,1,12.1,1.0,0.5,4.28,0.0,1.0,21.38,2.5,0.0,
55,2,2023-06-30 23:59:05,2023-07-01 00:39:44,1.0,19.72,2.0,N,132,236,2,70.0,0.0,0.5,0.0,6.55,1.0,79.8,0.0,1.75,
56,2,2023-06-30 23:59:05,2023-07-01 00:07:17,1.0,1.0,1.0,N,79,90,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,
57,2,2023-06-30 23:59:03,2023-07-01 00:54:01,3.0,17.55,2.0,N,132,48,1,70.0,0.0,0.5,20.14,6.55,1.0,100.69,2.5,0.0,
58,2,2023-06-30 23:59:03,2023-07-01 00:10:35,4.0,2.73,1.0,N,249,229,1,14.2,1.0,0.5,2.0,0.0,1.0,21.2,2.5,0.0,
59,2,2023-06-30 23:59:00,2023-07-01 00:10:30,1.0,2.69,1.0,N,79,229,2,14.9,1.0,0.5,0.0,0.0,1.0,19.9,2.5,0.0,
60,2,2023-06-30 23:58:59,2023-07-01 00:22:56,1.0,13.35,1.0,N,138,169,1,52.0,6.0,0.5,5.0,6.55,1.0,72.8,0.0,1.75,
61,2,2023-06-30 23:58:59,2023-07-01 00:17:54,1.0,8.52,1.0,N,138,213,1,35.9,6.0,0.5,5.0,6.55,1.0,56.7,0.0,1.75,
62,2,2023-06-30 23:58:58,2023-07-01 00:06:19,1.0,1.08,1.0,N,249,231,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,
63,2,2023-06-30 23:58:57,2023-07-01 00:25:16,,9.54,,,107,244,0,34.83,0.0,0.5,0.0,0.0,1.0,38.83,,,
64,2,2023-06-30 23:58:56,2023-07-01 00:07:27,1.0,1.2,1.0,N,144,231,2,10.0,1.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0,
65,2,2023-06-30 23:58:55,2023-07-01 00:15:19,2.0,5.92,1.0,N,48,116,1,26.8,1.0,0.5,6.36,0.0,1.0,38.16,2.5,0.0,
66,1,2023-06-30 23:58:55,2023-07-01 00:21:37,1.0,5.7,1.0,N,132,10,2,27.5,1.0,0.5,0.0,0.0,1.0,30.0,0.0,0.0,
67,2,2023-06-30 23:58:54,2023-07-01 00:05:21,1.0,1.41,1.0,N,163,164,1,8.6,1.0,0.5,2.72,0.0,1.0,16.32,2.5,0.0,
68,1,2023-06-30 23:58:54,2023-07-01 00:19:16,1.0,4.5,1.0,N,170,238,1,23.3,3.5,0.5,7.0,0.0,1.0,35.3,2.5,0.0,
69,2,2023-06-30 23:58:52,2023-07-01 00:16:29,1.0,2.39,1.0,N,158,79,1,17.7,1.0,0.5,1.0,0.0,1.0,23.7,2.5,0.0,
70,1,2023-06-30 23:58:52,2023-07-01 00:14:42,1.0,2.8,1.0,N,244,69,2,15.6,1.0,0.5,0.0,0.0,1.0,18.1,0.0,0.0,
71,2,2023-06-30 23:58:51,2023-07-01 00:16:38,3.0,2.66,1.0,N,246,79,1,17.7,1.0,0.5,4.54,0.0,1.0,27.24,2.5,0.0,
